number,description,department,type,brand,unit_type
44600-10,New Units Wholesale - Sales,3,1,33,173
44940-10,KTM - Misc Credits,3,1,52,181
44920-10,Honda - Misc Credits,3,1,52,181
44900-10,BRP - Misc Credits,3,1,52,181
44850-10,Misc Sales Income,3,1,4,149
44810-10,New Other Trailers - Sales,3,1,33,150
44800-10,New Other Products - Sales,3,1,33,153
44700-10,New Trailers - All - Sales,3,1,33,150
43410-10,ARGO Side X Side - Sales,3,1,33,145
43380-10,HONDA Dirt Bikes - Sales,3,1,3,172
43375-10,HONDA Side X Side - Sales,3,1,3,145
43360-10,HONDA Power Equipment - Sales,3,1,3,152
43320-10,HONDA ATV - Sales,3,1,3,162
43310-10,HONDA Motorcycles - Sales,3,1,3,172
43280-10,KTM Dirt Bikes - Sales,3,1,14,172
43210-10,KTM Motorcycles - Sales,3,1,14,172
43175-10,BRP Utility Vehicle - Sales,3,1,4,145
43170-10,BRP Boats - Sales,3,1,4,151
43150-10,BRP Snowmobiles - Sales,3,1,4,149
43140-10,BRP Watercraft - Sales,3,1,4,146
43120-10,BRP ATVs - Sales,3,1,4,162
43110-10,BRP Motorcycles - Sales,3,1,4,169
43740-10,New SSR Scooter Sales,3,1,55,143
43580-10,New RE Adventure Sales,3,1,59,137
43578-10,New RE Standard Sales,3,1,59,137
43577-10,New RE Sports Sales,3,1,59,137
43821-10,New OSET Electric MC Sales,3,1,147,142
43730-10,New Benelli Scooter Sales,3,1,24,143
43671-10,New SSR UTV Utility,3,1,55,145
43549-10-10,New SSR - Elec Street Bicycle,3,1,55,207
43549-05-10,New SSR - Elec Trail Bicycle,3,1,55,207
43543-10,New SSR MotoCross,3,1,55,139
43542-10,New SSR Enduro,3,1,55,139
43549-01-10,New SSR - Elec Mtn Bicycle,3,1,55,207
43510-10-10,New YeB Sales - Elec Street Bicycle,3,1,8,207
43510-01-10,New YeB Sales - Elec Mtn Bicycle,3,1,8,207
44156-10,New BS Sales - Lynx Hi-Perf,3,1,140,149
43510-05-10,New YeB Sales - Elec Trail Bicycle,3,1,8,207
43694-10,New KAYO (Kymco) ATV Sales - Youth,3,1,131,162
43693-10,New KAYO (Kymco) ATV Sales - Utility 2WD & 4WD,3,1,131,162
43541-10,New SSR Dual Sport,3,1,55,138
43571-10,New Ducati Scrambler Sales,3,1,11,137
43570-10,New Ducati Hypermotard Sales,3,1,11,137
43569-10,New Ducati Adventurer Sales,3,1,11,137
43567-10,New Ducati Standard Sales,3,1,11,137
43566-10,New Ducati Sport Sales,3,1,11,137
43565-10,New Ducati Cruiser Sales,3,1,11,137
45004-20,Used UTV Sales - Side by Side,8,1,33,145
43672-10,New SSR UTV Youth,3,1,55,145
43546-10,New SSR Standard,3,1,55,137
43545-10,New SSR Playbike,3,1,55,139
43540-10,New Benelli Standard,3,1,24,137
47900-20,OHRV Sticker Sales - UU,3,1,33,153
45300-20,Used Units Wholesale,8,1,33,173
45200-20,Used Other Products,8,1,33,153
45016-20,Used MC Sales - On Road Adventure,8,1,33,137
45015-20,Used MC Sales - On Road Touring,8,1,33,137
45014-20,Used MC Sales - Off Road Dual Sport,8,1,33,138
45013-20,Used MC Sales - On-Road Standard,8,1,33,137
45012-20,Used SPYDER - Other Sales,8,1,33,169
45011-20,Used Trailer Sales,8,1,33,150
45010-20,Used Power Equipment Sales,8,1,33,152
45009-20,Used Snowmobile Sales,8,1,33,149
45008-20,Used Scooters Sales,8,1,33,143
45007-20,Used ATV Sales - Youth,8,1,33,162
45006-20,Used ATV Sales - Utility (2WD & 4WD),8,1,33,162
45005-20,Used ATV Sales - Sport,8,1,33,162
45003-20,Used MC Sales - On-Road Cruiser,8,1,33,137
45002-20,Used MC Sales - On-Road Street,8,1,33,137
45001-20,Used MC Sales - Off-Road,8,1,33,139
47900-10,OHRV Sticker Sales - NU,3,1,33,153
44900-10,P&A Sold on Major Units,3,1,33,153
44190-10,New Trailer Sales,3,1,33,150
44161-10,New PS Timbersled Sales,3,1,16,149
